post_id,user,platform,comment,likes
101,Alice,Twitter,"Love the new product, so easy to use!",12
102,Bob,Instagram,Too expensive for what it offers,5
103,Charlie,Facebook,"Great value, would recommend to friends",3
104,Henry,Instagram,"Confusing to set up, needs better guide",15
105,Olive,Facebook,"Awesome support team, quick replies!",18
106,Jenny,Facebook,Love the new AI assistant feature.,22
107,Noah,Twitter,"Not bad, but still missing some features.",16
108,Ben,Instagram,Love the design and interface!,20
109,Sarah,Twitter,"Awesome update, fixed many bugs",8
110,Gia,Twitter,"Affordable and reliable, I like it.",6
